section	subgroup	case	title	rc	started_ms	finished_ms	duration_ms	log_path
BOOT TESTS	-	release-core-init-calls-memory-memcpy	release core init calls memory::memcpy in the memory sanity path	0	1775499124959	1775499125494	535	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/release-core-init-calls-memory-memcpy.log
TESTS	unit	host-keyboard-input-shortcut-terminal-indices-cover-alt-functions-and-command-selectors	host keyboard shortcut helpers map alt-function and selector commands to terminal indices	0	1775499124746	1775499125799	1053	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-keyboard-input-shortcut-terminal-indices-cover-alt-functions-and-command-selectors.log
TESTS	unit	host-keyboard-input-direct-function-shortcuts-cover-select-create-and-destroy	host keyboard shortcut helpers map direct function keys to select/create/destroy commands	0	1775499124976	1775499126001	1025	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-keyboard-input-direct-function-shortcuts-cover-select-create-and-destroy.log
BOOT TESTS	-	runtime-confirms-memcpy	runtime emits MEMCPY_OK	0	1775499125520	1775499126025	505	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-memcpy.log
BOOT TESTS	-	runtime-confirms-memcpy-backend-sse2	runtime emits MEMCPY_BACKEND_SSE2 when the default CPU supports SSE2	0	1775499126038	1775499126529	491	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-memcpy-backend-sse2.log
TESTS	unit	host-keyboard-input-alt-modified-printable-input-does-not-leave-garbage-text	host keyboard routing suppresses alt-modified printable input	0	1775499125819	1775499126735	916	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-keyboard-input-alt-modified-printable-input-does-not-leave-garbage-text.log
TESTS	unit	source-defines-keyboard-decoder	keyboard driver defines the decoder and routing helpers	0	1775499126748	1775499126757	9	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/source-defines-keyboard-decoder.log
TESTS	unit	source-defines-keyboard-polling-facade	keyboard driver defines the polling facade	0	1775499126770	1775499126779	9	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/source-defines-keyboard-polling-facade.log
TESTS	unit	host-keyboard-input-ctrl-modified-printable-input-does-not-echo-text	host keyboard routing suppresses ctrl-modified printable input	0	1775499126017	1775499127102	1085	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-keyboard-input-ctrl-modified-printable-input-does-not-echo-text.log
BOOT TESTS	-	runtime-confirms-memcpy-scalar-fallback-when-no-cpuid	runtime falls back to MEMCPY_BACKEND_SCALAR when CPUID is forced unavailable	0	1775499126542	1775499127128	586	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-memcpy-scalar-fallback-when-no-cpuid.log
BOOT TESTS	-	runtime-confirms-memcpy-scalar-fallback-when-simd-disabled	runtime falls back to MEMCPY_BACKEND_SCALAR when SIMD is forced off	0	1775499127145	1775499127640	495	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/runtime-confirms-memcpy-scalar-fallback-when-simd-disabled.log
BOOT TESTS	-	compact-switching-restores-centered-terminal-contents	host-driven VNC E2E restores centered compact terminal contents when switching terminals	0	1775499122314	1775499127836	5522	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/boot-tests/root/compact-switching-restores-centered-terminal-contents.log
TESTS	unit	host-layout-order-unit-tests-pass	host layout-order unit tests pass	0	1775499126792	1775499127914	1122	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/host-layout-order-unit-tests-pass.log
TESTS	unit	rust-defines-layout-order-check	Rust defines the pure layout-order helper	0	1775499127924	1775499127932	8	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/rust-defines-layout-order-check.log
TESTS	unit	rust-defines-vga-text-cell	Rust defines the VGA text cell helper	0	1775499127943	1775499127950	7	/home/motero/Code/kfs-1/.tmp/bench/profile-jobs6b.cases/tests/unit/rust-defines-vga-text-cell.log
